Time Series Search Export,Search term,Search filters,,Last update of Central bank total assets data,Downloaded at,Source,Source URL,Download URL,About Central bank total assets
,,TOPIC:Topic,CBTA:Central bank statistics / Central bank total assets,2024-08-20,2024-11-17 07:59 CET,BIS,https://data.bis.org/topics/CBTA/data?filter=TIMESPAN%3D2023-11-17_2024-11-17,https://data.bis.org/topics/CBTA/data?filter=TIMESPAN%3D2023-11-17_2024-11-17&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/CBTA
,,TIMESPAN:Timespan,2023-11-17_2024-11-17:,,,,,,

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,COMP_METHOD:Compilation methodology,UNIT_MEASURE:Unit of measure,CURRENCY:Currency,TRANSFORMATION:Transformation,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_CBTA,1.0",M.AR.B.XDC.ARS.B,M:Monthly,AR:Argentina,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),ARS:Argentine peso,B:Adjusted for breaks,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-04-30,F:Free (free for publication),,A:Normal value,179542.639633
"BIS,WS_CBTA,1.0",M.AR.B.XDC.ARS.B,M:Monthly,AR:Argentina,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),ARS:Argentine peso,B:Adjusted for breaks,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-05-31,F:Free (free for publication),,A:Normal value,120313.162154
"BIS,WS_CBTA,1.0",M.AR.B.XDC.ARS.B,M:Monthly,AR:Argentina,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),ARS:Argentine peso,B:Adjusted for breaks,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-06-30,F:Free (free for publication),,A:Normal value,118544.406386
"BIS,WS_CBTA,1.0",M.AR.B.XDC.ARS.B,M:Monthly,AR:Argentina,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),ARS:Argentine peso,B:Adjusted for breaks,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-07-31,F:Free (free for publication),,A:Normal value,92213.838446
"BIS,WS_CBTA,1.0",M.AR.B.XDC.ARS.N,M:Monthly,AR:Argentina,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),ARS:Argentine peso,N:Non transformed data,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2023-12-31,F:Free (free for publication),,A:Normal value,143153.128719
"BIS,WS_CBTA,1.0",M.AR.B.XDC.ARS.N,M:Monthly,AR:Argentina,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),ARS:Argentine peso,N:Non transformed data,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-01-31,F:Free (free for publication),,A:Normal value,160619.101251
"BIS,WS_CBTA,1.0",M.AR.B.XDC.ARS.N,M:Monthly,AR:Argentina,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),ARS:Argentine peso,N:Non transformed data,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-02-29,F:Free (free for publication),,A:Normal value,159541.572441
"BIS,WS_CBTA,1.0",M.AR.B.XDC.ARS.N,M:Monthly,AR:Argentina,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),ARS:Argentine peso,N:Non transformed data,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-03-31,F:Free (free for publication),,A:Normal value,173224.00181
"BIS,WS_CBTA,1.0",M.AR.B.XDC.ARS.N,M:Monthly,AR:Argentina,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),ARS:Argentine peso,N:Non transformed data,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-04-30,F:Free (free for publication),,A:Normal value,179542.639633
"BIS,WS_CBTA,1.0",M.AR.B.XDC.ARS.N,M:Monthly,AR:Argentina,B:BIS-spliced,XDC:Domestic currency (incl. conversion to current currency made using a fixed parity),ARS:Argentine peso,N:Non transformed data,Domestic currency (incl. conversion to current currency made using a fixed parity),Billions,2024-05-31,F:Free (free for publication),,A:Normal value,120313.162154
